"Neighborhood","Venue Category","Venue","Id","Neighborhood_Latitude","Neighborhood_Longitude","Location_Formatted_Address","Categories_Name","Location_Address","Location_Postal_Code","Location_City","Location_State","Cluster_Label"
"Begur","Supermarket","More Megastore","5997dbcf66f3cd6c73e63774",12.916343,77.671233,"Total Mall (Sarjapur Road)","Supermarket","Total Mall",560068,"Bangalore","Karnataka",2
"Benson Town","Grocery Store","Misbah Mini Store","5e0df3dc8cff710008152afd",13.001646,77.59485,"Bangalore 560046","Grocery Store","null",560046,"Bangalore","Karnataka",1
"J P Nagar","Grocery Store","Namdhari's Fresh","5ad8b5c4356b4901d928ee79",12.89184,77.57974,"Bangalore 560078","Grocery Store","null",560078,"Bangalore","Karnataka",0
"Ideal Homes Township","Grocery Store","Laxmi Super Market","56f10392498e142278328e6a",12.92396691,77.51846141,"Ideal Homes Township","Grocery Store","Ideal Homes Township","null","Bangalore","Karnataka",0
"Kenchanahalli","Grocery Store","More Supermarket","5b817a2f97cf5a002cdfea28",12.9210415,77.52035,"Bangalore 560098","Grocery Store","null",560098,"Bangalore","Karnataka",0
"Kanakanagar","Grocery Store","Namdhari's Fresh","4c55397afd2ea593970a5d2b",13.0206561,77.5928743,"RT Nagar (Taralabalu Rd)","Grocery Store","RT Nagar",560032,"Bangalore","Karnataka",1
"Sahakara Nagar","Grocery Store","Reliance Fresh","4c80a5882f1c236a42972843",13.06348309,77.59073353,"G-block, Byatarayanapura, Sahakara Nagar","Grocery Store","G-block, Byatarayanapura, Sahakara Nagar","null","Bangalore","Karnataka",1
"Whitefield","Grocery Store","Namdharis","50ab8810e4b0ade3442f752f",12.97494464,77.75083253,"Whitefield Main Rd","Grocery Store","Whitefield Main Rd","null","Bangalore","Karnataka",2
"J P Nagar","Grocery Store","Margin Free Supermarket","5f09a8d167564371a9c12747",12.877188,77.581052,"Kothnur Dinne Road","Grocery Store","Kothnur Dinne Road",560078,"Bangalore","Karnataka",0
"Sarjapura Road","Grocery Store","food world","52a2e2ab11d249c2f925e4dd",12.91195993,77.68089383,"Sarjapura Road","Grocery Store","Sarjapura Road","null","Bangalore","Karnataka",2
"Bannerghatta Road","Grocery Store","Green House","5b0d32aa1b0ea5002cb2e1b8",12.859238,77.612032,"Opp SNN Raj Serenity (Begur Koppa Rd. Yelenahalli)","Grocery Store","Opp SNN Raj Serenity",560076,"Bangalore","Karnataka",0
"HSR","Grocery Store","Food Basket","59c0c4c561f07020cee16551",12.909142,77.63978,"Bangalore 560102","Grocery Store","null",560102,"Bangalore","Karnataka",0
"Hoodi","Grocery Store","Nilgiris","5842ca8602b60e0ddc847bbc",12.9781065,77.69856,"Bangalore 560048","Grocery Store","null",560048,"Bangalore","Karnataka",2
"Indiranagar","Grocery Store","Namdhari's Fresh","4e36b781b0fb59390eabb4ff",12.97020821,77.64078501,"Indiranagar (12th Main)","Grocery Store","Indiranagar","null","Bangalore","Karnataka",0
"Bannerghatta Road","Department Store","Benison Super Market","4c026437096ed13ae0b57926",12.88466849,77.59467772,"Arekere (Bannerghatta Road)","Department Store","Arekere",560076,"Bangalore","Karnataka",0
"CMP Centre And School","Grocery Store","Namdhari Fresh","4c962b1a6b35a14386422bdc",12.95974856,77.60273679,"Langford Road","Grocery Store","Langford Road",560025,"Bangalore","Karnataka",0
"Sahakara Nagar","Supermarket","The Big Market","4c0a79b0340720a101718693",13.06269101,77.59293326,"Sahakara Nagar","Supermarket","Sahakara Nagar","null","Bangalore","Karnataka",1
"Attur","Grocery Store","The Big Market","5eb9364ad00e1800086d1e49",13.145387,77.56953,"Sree Sai Layout, Doddaballapur Main Road (Yelahanka)","Grocery Store","Sree Sai Layout, Doddaballapur Main Road",560064,"Bangalore","Karnataka",1
"Whitefield","Gourmet","Good Food Store","51cd92ec498eb5ea320a7ba9",13.05169889,77.74849674,"Whitefield","Gourmet Shop","Whitefield","null","Bangalore","Karnataka",2
"ISRO Anthariksha Bhavan","Grocery Store","Smart","4f6577c7e4b0c65cc53f3fbd",13.034659,77.575471,"Sanjaynagar (Rajgopal Road)","Grocery Store","Sanjaynagar",560094,"Bangalore","Karnataka",1
"Kengeri Satellite Town","Grocery Store","Food World","4ed25da777c8ea62fe69da60",12.92486675,77.48695405,"Kengeri Satellite Town","Grocery Store","Kengeri Satellite Town","null","Bangalore","Karnataka",0
"Sivan Chetty Gardens","Grocery Store","Green Life Organic Store","52845dbf11d2d0a6ede79e39",12.92065592,77.58649224,"Jayanagar 4 T Block","Grocery Store","Jayanagar 4 T Block",560042,"Bangalore","Karnataka",0
"R.T.Nagar","Grocery Store","Sri Shanti Agencies","51d923a0498e4254d0327de8",13.02328959,77.59263108,"R.T.Nagar Main Road","Grocery Store","R.T.Nagar Main Road","null","Bangalore","Karnataka",1
"Sultanpalya","Grocery Store","Smart","4c27054f905a0f4795566460",13.02394992,77.60303334,"Sultanpalya Main Rd","Grocery Store","Sultanpalya Main Rd","null","Bangalore","Karnataka",1
